Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T002_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006,SE_T011_007,SE_T011_008,SE_T011_009,SE_T011_010,SE_T011_011,SE_T011_012,SE_T011_013,SE_T011_014,SE_T011_015,SE_T011_016,SE_T011_017,SE_T023_001,SE_T023_002,SE_T023_003,SE_T023_004,SE_T023_005,SE_T023_006,SE_T023_007,SE_T023_008,SE_T023_009,SE_T023_010,SE_T023_011,SE_T027_001,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T031_001,SE_T031_002,SE_T031_003,SE_T043_001,SE_T043_002,SE_T043_003,SE_T043_004,SE_T043_005,SE_T043_006,SE_T043_007,SE_T043_008,SE_T043_009,SE_T043_010,SE_T043_011,SE_T043_012,SE_T043_013,SE_T047_001,SE_T047_002,SE_T047_003,SE_T047_004,SE_T047_005,SE_T047_006,SE_T047_007,SE_T047_008,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003,SE_T064_001,SE_T064_002,SE_T064_003,SE_T064_004,SE_T064_005,SE_T064_006,SE_T064_007,SE_T064_008,SE_T064_009,SE_T064_010,SE_T064_011,SE_T064_012,SE_T064_013,SE_T064_014,SE_T064_015,SE_T064_016,SE_T064_017,SE_T064_018,SE_T064_019,SE_T064_020,SE_T064_021,SE_T064_022,SE_T064_023,SE_T064_024,SE_T064_025,SE_T064_026,SE_T064_027,SE_T064_028,SE_T064_029,SE_T064_030,SE_T064_031,SE_T064_032,SE_T064_033,SE_T064_034
"SLC42","Census Tract SLC42, St Louis County, Missouri","140","29189SLC04200","29","189",1271,3.92592692375183,1271,323.745200734751,3.92592692375183,1271,557,714,1271,1200,71,0,1271,85,93,96,100,106,93,126,142,124,92,91,42,38,25,10,8,586,58,5,162,72,9,14,205,12,30,19,1008,597,594,586,8,3,411,594,586,8,791,2,260,21,27,212,278,71,207,251,100,151,0,791,2,260,529,458,251,151,0,307,307,287,20,15,5,287,211,76,55,8,0,0,3,1,3,0,6,0,0,1,19,2,0,2,1,0,2,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0
"SLC43","Census Tract SLC43, St Louis County, Missouri","140","29189SLC04300","29","189",2710,3.46394729614258,2710,782.344466677606,3.46394729614258,2710,1171,1539,2710,2528,168,14,2710,179,202,193,188,228,237,259,275,262,225,155,126,76,46,26,33,1267,130,7,271,158,24,39,518,61,53,6,2173,1283,1280,1267,13,3,890,1280,1267,13,1720,4,544,31,95,418,543,163,380,626,263,363,3,1720,4,544,1169,1006,626,363,3,627,627,602,25,18,7,602,495,107,85,17,6,0,11,0,2,0,1,1,1,1,18,0,1,6,0,0,3,0,0,2,0,5,0,1,0,1,7,0,0,1,0,0
"SLC44","Census Tract SLC44, St Louis County, Missouri","140","29189SLC04400","29","189",2293,0.894845545291901,2293,2562.45338881585,0.894845545291901,2293,1035,1258,2293,2211,82,0,2293,110,81,129,157,197,246,215,223,194,215,161,114,83,71,48,49,1049,215,21,238,286,44,35,97,96,16,1,2004,1101,1092,1049,43,9,903,1092,1049,43,1619,2,446,28,45,373,619,211,408,549,212,337,3,1619,2,446,1168,957,549,337,3,741,741,678,63,58,5,678,278,400,81,10,6,1,4,0,1,1,1,3,1,1,23,1,1,4,0,0,8,1,0,1,1,1,1,0,1,0,8,0,1,0,0,0
"SLC45","Census Tract SLC45, St Louis County, Missouri","140","29189SLC04500","29","189",6578,1.00031900405884,6578,6575.90226048838,1.00031900405884,6578,2829,3749,6578,6308,269,1,6578,297,353,440,514,474,550,601,677,680,581,436,339,263,164,114,95,2832,411,31,912,636,61,36,623,95,20,7,5589,2911,2901,2832,69,10,2678,2901,2832,69,4500,11,1045,59,109,877,1705,522,1183,1734,702,1032,5,4500,11,1045,3439,2917,1734,1032,5,2080,2080,1915,165,156,9,1915,833,1082,335,48,4,1,16,1,6,3,1,3,4,2,51,19,3,19,3,1,75,4,0,12,0,15,0,4,6,0,27,0,2,1,1,3
"SLC46","Census Tract SLC46, St Louis County, Missouri","140","29189SLC04600","29","189",4198,0.572228968143463,4198,7336.22419294845,0.572228968143463,4198,1835,2363,4198,4144,53,1,4198,232,245,272,356,347,371,378,370,394,322,260,206,185,113,67,80,1843,293,18,468,534,58,51,342,57,3,19,3511,1890,1882,1843,39,8,1621,1882,1843,39,2746,55,749,19,38,692,1056,358,698,872,298,574,14,2746,55,749,1928,1570,872,574,14,1193,1193,1112,81,74,7,1112,406,706,483,31,3,2,9,1,1,0,0,3,0,5,66,24,0,19,12,2,235,6,0,13,13,5,0,4,4,5,14,0,1,0,3,2
"SLC47","Census Tract SLC47, St Louis County, Missouri","140","29189SLC04700","29","189",73,0.19207675755024,73,380.056394803031,0.19207675755024,73,39,34,73,62,11,0,73,0,0,0,2,11,16,9,4,3,12,3,4,5,2,2,0,69,11,0,5,16,2,0,0,35,0,0,73,70,70,69,1,0,3,70,69,1,60,1,24,4,4,16,6,4,2,29,8,21,0,60,1,24,35,31,29,21,0,1,1,1,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC48","Census Tract SLC48, St Louis County, Missouri","140","29189SLC04800","29","189",5616,0.578152298927307,5616,9713.7034833552,0.578152298927307,5616,2431,3185,5616,5604,11,1,5616,311,288,361,438,533,512,554,495,432,434,374,284,217,169,118,96,2578,444,60,338,879,266,193,55,269,57,17,4739,2726,2706,2578,128,20,2013,2706,2578,128,3685,7,1470,74,161,1235,1386,494,892,810,341,469,12,3685,7,1470,2196,1702,810,469,12,1625,1625,1545,80,79,1,1545,789,756,299,18,3,6,27,1,12,7,1,1,3,4,80,6,9,17,8,6,22,5,0,0,13,29,1,3,2,0,9,0,4,0,0,2
"SLC49","Census Tract SLC49, St Louis County, Missouri","140","29189SLC04900","29","189",5520,0.775668323040009,5520,7116.44376344512,0.775668323040009,5520,2649,2871,5520,4658,862,0,5520,446,420,435,390,390,477,590,592,481,403,273,206,156,111,85,65,2136,223,31,344,759,184,188,192,119,81,15,4302,2333,2283,2136,147,50,1969,2283,2136,147,3439,45,1288,147,207,934,1303,523,780,796,364,432,7,3439,45,1288,2099,1576,796,432,7,1604,1604,1540,64,61,3,1540,737,803,207,16,1,3,12,2,9,1,3,0,3,2,49,6,4,3,14,4,26,2,0,0,1,29,2,0,1,0,9,0,1,0,1,3
"SLC50","Census Tract SLC50, St Louis County, Missouri","140","29189SLC05000","29","189",1666,0.91987019777298,1666,1811.12509572917,0.91987019777298,1666,774,892,1666,1629,37,0,1666,117,103,118,120,125,173,181,173,166,141,89,65,31,26,13,25,707,102,11,184,185,37,27,144,9,3,5,1354,728,725,707,18,3,626,725,707,18,1083,4,300,10,24,266,425,154,271,351,146,205,3,1083,4,300,776,622,351,205,3,730,730,459,271,265,6,459,271,188,84,3,1,0,0,0,1,0,0,3,1,1,29,3,0,5,2,1,16,0,0,1,0,6,2,0,0,0,7,0,0,0,0,2
"SLC51","Census Tract SLC51, St Louis County, Missouri","140","29189SLC05100","29","189",4390,1.96767663955688,4390,2231.05764013574,1.96767663955688,4390,2130,2260,4390,4025,365,0,4390,407,378,369,321,298,373,480,480,353,266,217,162,110,76,45,55,1612,131,21,231,407,264,269,92,107,82,8,3294,1726,1685,1612,73,41,1568,1685,1612,73,2617,55,1344,98,174,1072,813,356,457,380,177,203,25,2617,55,1344,1193,837,380,203,25,1256,1256,1198,58,52,6,1198,784,414,173,11,2,1,13,0,1,5,0,0,4,4,46,0,1,14,9,0,7,0,2,3,1,39,0,1,0,0,9,0,0,0,0,0
